Data_Medicao,Numero_dias_Precipitacao,Precipitacao_total,Pressao_Atmosferica,Temperatura_media
01/01/2022,17.85,177.72,933.21,23.96
01/02/2022,15.84,137,933.8,23.83
01/03/2022,15.36,187.57,934.53,23.25
01/04/2022,7.18,105.58,935.58,21.88
01/05/2022,7.34,115.05,937.57,18.11
01/06/2022,6.85,95.88,937.81,17.6
01/07/2022,3.06,17.91,938.03,19.74
01/08/2022,4.98,55,797.1,16.04
01/09/2022,9.15,59.36,795.57,16.9
01/10/2022,13.91,131.4,934.71,22.24
01/11/2022,12.29,70.13,934.13,21.83
01/12/2022,17.56,141.51,932.49,23.23
01/01/2023,17.4,157.15,724.87,23.16
01/02/2023,14.34,121.33,934.58,23.28
01/03/2023,16.65,187.62,935.4,23.54
01/04/2023,15.28,141.02,935.41,21.45
01/05/2023,2,14.98,796.88,16.52
01/06/2023,4.83,55.96,599.63,10.83
01/07/2023,4.16,63.11,599.39,11.4
01/08/2023,6.39,39.4,597.87,12.5
01/09/2023,6.76,138.97,794.48,19.98
01/10/2023,12.42,114.7,933.34,24.02
01/11/2023,12.09,240.3,933.13,24.61
01/12/2023,12.7,140.02,933.64,25.24
01/01/2024,12.39,132.72,933.82,24.16
01/02/2024,15.82,143.54,935.21,19.18
01/03/2024,10.21,144.96,935.06,24.29
01/04/2024,8.52,117.13,935.5,23.5
01/05/2024,7.12,92.24,937,20.64
01/06/2024,2.4,62.3,938.29,20.1
01/07/2024,3.5,25.79,776.85,15.02
01/08/2024,2.84,26.06,775.49,16.73
01/09/2024,3.19,43.87,772.92,19.57
01/10/2024,8.87,52.35,772.07,19.63
01/11/2024,9.64,103.96,770.98,19.57
01/12/2024,11.35,134.93,770.77,13.97
