Data,Valor_Soja,Valor_Cafe,Valor_Algodao
01/01/2022,176.31,1482.59,679.89
01/02/2022,191.63,1485.35,696.58
01/03/2022,195.85,1284.41,702.64
01/04/2022,182.2,1251.33,718.86
01/05/2022,188.96,1261.08,794.29
01/06/2022,189.82,1333.00,738.16
01/07/2022,184.63,1318.78,602.99
01/08/2022,181.86,1302.16,630.43
01/09/2022,181.72,1297.93,610.49
01/10/2022,179.71,1135.49,518.47
01/11/2022,182.44,962.21,522.17
01/12/2022,177.28,1012.36,530.44
01/01/2023,170.87,1009.27,531.67
01/02/2023,165.56,1129.53,522.48
01/03/2023,155.19,1104.68,484.66
01/04/2023,139.11,1106.36,429.98
01/05/2023,131.16,1039.88,391.65
01/06/2023,128.43,928.86,393.81
01/07/2023,137.38,819.61,379.89
01/08/2023,139.84,826.89,401.93
01/09/2023,139.16,810.91,401.8
01/10/2023,136.91,829.44,402.71
01/11/2023,138.17,888.00,388.54
01/12/2023,139.12,974.46,393.28
01/01/2024,121.18,990.64,396.57
01/02/2024,111.93,1008.88,413.66
01/03/2024,117.28,1013.92,420.34
01/04/2024,122.66,1214.35,397.87
01/05/2024,130.96,1175.42,384.75
01/06/2024,133.98,1349.22,392.34
01/07/2024,133.5,1419.72,406.95
01/08/2024,129.24,1431.37,399.44
01/09/2024,136.65,1472.73,395.98
01/10/2024,139.71,1490.14,396.05
01/11/2024,140.47,1776.55,395.15
01/12/2024,138.38,2154.89,413.79
