Data,ICE_Agro
01/01/2022,93.8
01/02/2022,93.4
01/03/2022,93.2
01/04/2022,95.2
01/05/2022,96.7
01/06/2022,97.4
01/07/2022,97.5
01/08/2022,99.2
01/09/2022,99.1
01/10/2022,97
01/11/2022,93.2
01/12/2022,93
01/01/2023,91
01/02/2023,91.9
01/03/2023,92.8
01/04/2023,91.1
01/05/2023,90.8
01/06/2023,93
01/07/2023,93
01/08/2023,93.5
01/09/2023,93.1
01/10/2023,92.5
01/11/2023,93.6
01/12/2023,93.5
01/01/2024,94.1
01/02/2024,93.3
01/03/2024,94.5
01/04/2024,95.1
01/05/2024,95.3
01/06/2024,96
01/07/2024,97.8
01/08/2024,98.8
01/09/2024,97.1
01/10/2024,97.3
01/11/2024,96.5
01/12/2024,95.9
