Data,IGPM_Preco,IGPM_Tx
01/01/2022,1120999,1.82
01/02/2022,1141546,1.83
01/03/2022,1161418,1.74
01/04/2022,1177809,1.41
01/05/2022,1183953,0.52
01/06/2022,1190882,0.59
01/07/2022,1193337,0.21
01/08/2022,1185004,-0.70
01/09/2022,1173793,-0.95
01/10/2022,1162391,-0.97
01/11/2022,1155829,-0.56
01/12/2022,1161006,0.45
01/01/2023,1163465,0.21
01/02/2023,1162761,-0.06
01/03/2023,1163359,0.05
01/04/2023,1152307,-0.95
01/05/2023,1131058,-1.84
01/06/2023,1109230,-1.93
01/07/2023,1101204,-0.72
01/08/2023,1099710,-0.14
01/09/2023,1103740,0.37
01/10/2023,1109236,0.50
01/11/2023,1115815,0.59
01/12/2023,1124072,0.74
01/01/2024,1124879,0.07
01/02/2024,1119061,-0.52
01/03/2024,1113837,-0.47
01/04/2024,1117280,0.31
01/05/2024,1127233,0.89
01/06/2024,1136409,0.81
01/07/2024,1143313,0.61
01/08/2024,1146575,0.29
01/09/2024,1153718,0.62
01/10/2024,1171272,1.52
01/11/2024,1186462,1.30
01/12/2024,1197562,0.94
